54.7178231292517,54.82231292517007,on
54.926802721088436,55.031292517006804,a
55.06612244897959,55.414421768707484,dark
55.48408163265306,55.86721088435374,desert
55.902040816326526,57.88734693877551,highway
57.95700680272109,58.34013605442177,cool
58.37496598639456,58.61877551020408,wind
58.72326530612245,58.89741496598639,in
58.93224489795918,59.176054421768704,my
59.2108843537415,61.161360544217686,hair
61.23102040816326,61.57931972789115,warm
61.61414965986394,61.99727891156462,smell
62.10176870748299,62.20625850340136,of
62.27591836734694,64.22639455782313,colitas
64.3308843537415,64.85333333333332,rising
64.9578231292517,65.16680272108843,up
65.20163265306122,65.44544217687074,through
65.51510204081633,65.68925170068027,the
65.79374149659864,67.70938775510204,air
67.81387755102041,67.91836734693878,up
68.02285714285713,68.58013605442177,ahead
68.64979591836735,68.75428571428571,in
68.82394557823129,68.96326530612245,the
69.03292517006803,70.80925170068026,distance
70.91374149659863,70.98340136054422,i
71.0530612244898,71.26204081632653,saw
71.3317006802721,71.47102040816327,a
71.54068027210884,72.27210884353741,shimmering
72.3069387755102,74.08326530612244,light
74.15292517006803,74.29224489795918,my
74.32707482993197,74.46639455782312,head
74.50122448979592,74.67537414965986,grew
74.71020408163265,75.09333333333333,heavy
75.16299319727891,75.26748299319728,and
75.33714285714285,75.5112925170068,my
75.54612244897959,75.78993197278912,sight
75.8247619047619,76.10340136054421,grew
76.1730612244898,77.35727891156462,dim
77.42693877551021,77.53142857142856,i
77.60108843537415,77.7404081632653,had
77.7752380952381,77.91455782312924,to
77.94938775510204,78.26285714285714,stop
78.29768707482992,78.54149659863945,for
78.57632653061225,78.75047619047619,the
78.78530612244897,80.73578231292517,night
80.80544217687074,81.04925170068027,there
81.11891156462585,81.36272108843538,she
81.39755102040816,81.6065306122449,stood
81.67619047619047,81.81551020408163,in
81.85034013605441,82.02448979591837,the
82.05931972789115,82.8952380952381,doorway
84.04462585034014,84.07945578231292,i
84.11428571428571,84.28843537414966,heard
84.32326530612245,84.4974149659864,the
84.53224489795919,85.08952380952381,mission
85.15918367346939,87.52761904761904,bell
87.6669387755102,87.80625850340135,and
87.87591836734694,87.98040816326531,i
88.01523809523809,88.15455782312925,was
88.22421768707483,88.6073469387755,thinkin'
88.6421768707483,88.81632653061224,to
88.88598639455782,89.6174149659864,myself
89.65224489795918,89.79156462585034,this
89.89605442176871,90.03537414965986,could
90.07020408163265,90.2443537414966,be
90.27918367346939,90.80163265306122,heaven
90.90612244897959,91.08027210884353,or
91.11510204081632,91.32408163265306,this
91.39374149659864,91.60272108843537,could
91.67238095238095,92.02068027210885,be
92.05551020408163,93.86666666666666,hell
93.93632653061225,94.11047619047619,then
94.18013605442177,94.31945578231293,she
94.35428571428571,94.56326530612245,lit
94.70258503401361,94.91156462585033,up
95.0160544217687,95.15537414965986,a
95.19020408163264,97.21034013605441,candle
97.31482993197278,97.41931972789115,and
97.48897959183674,97.62829931972789,she
97.69795918367346,98.08108843537414,showed
98.11591836734694,98.29006802721088,me
98.32489795918367,98.42938775510204,the
98.49904761904762,100.55401360544218,way
100.62367346938775,100.7629931972789,there
100.7978231292517,100.93714285714286,were
101.00680272108843,101.35510204081632,voices
101.38993197278911,101.63374149659863,down
101.66857142857143,101.98204081632653,the
102.01687074829931,103.58421768707483,corridor
103.6538775510204,103.75836734693877,i
103.82802721088436,104.03700680272108,thought
104.10666666666667,104.24598639455782,i
104.28081632653061,104.6291156462585,heard
104.66394557823129,105.01224489795918,them
105.08190476190475,107.06721088435374,say
107.13687074829932,107.72897959183673,welcome
107.76380952380953,107.90312925170068,to
107.97278911564625,108.11210884353741,the
108.14693877551021,109.12217687074829,hotel
109.19183673469388,112.81414965986394,california
112.84897959183674,113.02312925170068,such
113.12761904761905,113.23210884353742,a
113.2669387755102,113.82421768707482,lovely
113.85904761904762,114.45115646258503,place
114.48598639455781,114.66013605442177,such
114.76462585034014,114.8691156462585,a
114.93877551020408,115.46122448979591,lovely
115.4960544217687,116.05333333333333,place
116.08816326530612,116.26231292517006,such
116.36680272108843,116.4712925170068,a
116.50612244897958,117.06340136054422,lovely
117.098231292517,119.67564625850339,face
119.74530612244898,120.05877551020407,plenty
120.12843537414966,120.3025850340136,of
120.3374149659864,120.68571428571428,room
120.79020408163265,121.06884353741496,at
121.13850340136054,121.34748299319727,the
121.41714285714285,122.07891156462584,hotel
122.14857142857143,125.7708843537415,california
125.87537414965986,126.18884353741497,any
126.22367346938775,126.64163265306122,time
126.7112925170068,126.78095238095237,of
126.81578231292517,127.40789115646258,year
127.54721088435373,127.82585034013606,any
127.89551020408163,128.24380952380952,time
128.3482993197279,128.41795918367347,of
128.48761904761903,129.04489795918366,year
129.11455782312925,129.21904761904761,you
129.2887074829932,129.42802721088435,can
129.46285714285713,129.8808163265306,find
129.9504761904762,130.05496598639456,it
130.08979591836734,132.84136054421768,here
132.91102040816327,133.0851700680272,her
133.12,133.29414965986393,mind
133.36380952380952,133.4682993197279,is
133.53795918367348,136.18503401360545,tiffanytwisted
136.21986394557823,136.39401360544218,she
136.42884353741496,136.60299319727892,got
136.6378231292517,136.81197278911563,the
136.84680272108844,138.44897959183672,mercedesbenz
138.5534693877551,139.4938775510204,uh
139.563537414966,139.70285714285714,she
139.73768707482992,139.91183673469388,got
139.98149659863944,140.0859863945578,a
140.12081632653062,140.32979591836735,lot
140.3994557823129,140.50394557823128,of
140.57360544217687,141.1308843537415,pretty
141.16571428571427,141.51401360544216,pretty
141.54884353741497,143.18585034013606,boys
143.22068027210884,143.35999999999999,that
143.3948299319728,143.56897959183672,she
